edital;tipoObjeto;modalidade;rito;finalidade;processo;centralDeCompras;dataDeAbertura;situacaoOferta;numeroLote;situacaoLote;numeroItem;itemDescricao;quantidade;unidadeMedida;valorUnitario;valorTotal;arrematante;arrematanteCNPJ;url;urlDocumentos;urlPropostas;dataHomologacao
0492/2020;Bens;Pregão Eletrônico (13.191/09);COVID-19 (Lei 13.979/2020);COVID-19;20/1300-0004391-2;CELIC - SUBSECRETARIA DA ADMINISTRAÇÃO CENTRAL DE LICITAÇÕES;05/08/2020 09:30;Homologada;1;Adjudicado;3;MÁSCARA DE PROTEÇÃO USO NÃO PROFISSIONAL - 100% ALGODÃO - ADULTO;119488;un;1.59;189985.92;LAMAISON ASSESSORIA EM SAÚDE E EDUCAÇÃO CONTINUADA EIRELI;1,14072E+13;http://www.compras.rs.gov.br/editais/0492_2020/262359;http://www.compras.rs.gov.br/editais/0492_2020/262359#documentsTab;http://www.compras.rs.gov.br/editais/0492_2020/lote/784418#proposalsTab;20/08/2020
0492/2020;Bens;Pregão Eletrônico (13.191/09);COVID-19 (Lei 13.979/2020);COVID-19;20/1300-0004391-2;CELIC - SUBSECRETARIA DA ADMINISTRAÇÃO CENTRAL DE LICITAÇÕES;05/08/2020 09:30;Homologada;2;Adjudicado;1;TAPETE - SANITIZANTE PVC RETANGULAR 10,00MM X 1.000MM X 700MM;476;un;100.81;47985.56;J P CAVEDON SOARES;1,09257E+13;http://www.compras.rs.gov.br/editais/0492_2020/262359;http://www.compras.rs.gov.br/editais/0492_2020/262359#documentsTab;http://www.compras.rs.gov.br/editais/0492_2020/lote/784419#proposalsTab;20/08/2020
0492/2020;Bens;Pregão Eletrônico (13.191/09);COVID-19 (Lei 13.979/2020);COVID-19;20/1300-0004391-2;CELIC - SUBSECRETARIA DA ADMINISTRAÇÃO CENTRAL DE LICITAÇÕES;05/08/2020 09:30;Homologada;3;Adjudicado;1;TERMÔMETRO CLINICO - DIGITAL LASER PORTÁTIL - INFRAVERMELHO;952;un;125.94;119894.88;BMH PRODUTOS MÉDICOS HOSPITALARES LTDA-EPP;2,73007E+13;http://www.compras.rs.gov.br/editais/0492_2020/262359;http://www.compras.rs.gov.br/editais/0492_2020/262359#documentsTab;http://www.compras.rs.gov.br/editais/0492_2020/lote/784420#proposalsTab;20/08/2020
0492/2020;Bens;Pregão Eletrônico (13.191/09);COVID-19 (Lei 13.979/2020);COVID-19;20/1300-0004391-2;CELIC - SUBSECRETARIA DA ADMINISTRAÇÃO CENTRAL DE LICITAÇÕES;05/08/2020 09:30;Homologada;4;Cancelado;1;PAPEL TOALHA ROLO FOLHA SIMPLES 20CM X 200M - MÍNIMA 28G/M2 BRANCO;14280;rl;;;;;http://www.compras.rs.gov.br/editais/0492_2020/262359;http://www.compras.rs.gov.br/editais/0492_2020/262359#documentsTab;http://www.compras.rs.gov.br/editais/0492_2020/lote/784421#proposalsTab;
0492/2020;Bens;Pregão Eletrônico (13.191/09);COVID-19 (Lei 13.979/2020);COVID-19;20/1300-0004391-2;CELIC - SUBSECRETARIA DA ADMINISTRAÇÃO CENTRAL DE LICITAÇÕES;05/08/2020 09:30;Homologada;4;Cancelado;2;DETERGENTE LAVA-LOUCA /05 **;57120;em;;;;;http://www.compras.rs.gov.br/editais/0492_2020/262359;http://www.compras.rs.gov.br/editais/0492_2020/262359#documentsTab;http://www.compras.rs.gov.br/editais/0492_2020/lote/784421#proposalsTab;
0492/2020;Bens;Pregão Eletrônico (13.191/09);COVID-19 (Lei 13.979/2020);COVID-19;20/1300-0004391-2;CELIC - SUBSECRETARIA DA ADMINISTRAÇÃO CENTRAL DE LICITAÇÕES;05/08/2020 09:30;Homologada;4;Cancelado;3;MULTIUSO LIMPADOR INSTANTANEO/500 *;14280;em;;;;;http://www.compras.rs.gov.br/editais/0492_2020/262359;http://www.compras.rs.gov.br/editais/0492_2020/262359#documentsTab;http://www.compras.rs.gov.br/editais/0492_2020/lote/784421#proposalsTab;
0492/2020;Bens;Pregão Eletrônico (13.191/09);COVID-19 (Lei 13.979/2020);COVID-19;20/1300-0004391-2;CELIC - SUBSECRETARIA DA ADMINISTRAÇÃO CENTRAL DE LICITAÇÕES;05/08/2020 09:30;Homologada;4;Cancelado;4;ÁGUA SANITÁRIA - CLORO ATIVO: 2,0% A 2,5% (P/P) EMBALAGEM COM 05 LITROS;11424;gl;;;;;http://www.compras.rs.gov.br/editais/0492_2020/262359;http://www.compras.rs.gov.br/editais/0492_2020/262359#documentsTab;http://www.compras.rs.gov.br/editais/0492_2020/lote/784421#proposalsTab;
0492/2020;Bens;Pregão Eletrônico (13.191/09);COVID-19 (Lei 13.979/2020);COVID-19;20/1300-0004391-2;CELIC - SUBSECRETARIA DA ADMINISTRAÇÃO CENTRAL DE LICITAÇÕES;05/08/2020 09:30;Homologada;4;Cancelado;5;ÁLCOOL - ETÍLICO 70 GRAUS INPM LÍQUIDO 1 LITRO;437580;un;;;;;http://www.compras.rs.gov.br/editais/0492_2020/262359;http://www.compras.rs.gov.br/editais/0492_2020/262359#documentsTab;http://www.compras.rs.gov.br/editais/0492_2020/lote/784421#proposalsTab;
0492/2020;Bens;Pregão Eletrônico (13.191/09);COVID-19 (Lei 13.979/2020);COVID-19;20/1300-0004391-2;CELIC - SUBSECRETARIA DA ADMINISTRAÇÃO CENTRAL DE LICITAÇÕES;05/08/2020 09:30;Homologada;5;Adjudicado;1;ÁLCOOL ETÍLICO 70% - ANTISSÉPTICO INSTANTÂNEO P/MÃOS - GEL - GALÃO 5L;16575;gl;30;497250;PROQUILL PRODUTOS QUIMICOS DE LIMPEZA LTDA;8,7175E+13;http://www.compras.rs.gov.br/editais/0492_2020/262359;http://www.compras.rs.gov.br/editais/0492_2020/262359#documentsTab;http://www.compras.rs.gov.br/editais/0492_2020/lote/784422#proposalsTab;20/08/2020
0492/2020;Bens;Pregão Eletrônico (13.191/09);COVID-19 (Lei 13.979/2020);COVID-19;20/1300-0004391-2;CELIC - SUBSECRETARIA DA ADMINISTRAÇÃO CENTRAL DE LICITAÇÕES;05/08/2020 09:30;Homologada;5;Adjudicado;2;ÁLCOOL ETILICO 70% - ANTISSÉPTICO INSTANTÂNEO P/MÃOS - GEL- 500 ML;3315;fr;7.31;24232.65;PROQUILL PRODUTOS QUIMICOS DE LIMPEZA LTDA;8,7175E+13;http://www.compras.rs.gov.br/editais/0492_2020/262359;http://www.compras.rs.gov.br/editais/0492_2020/262359#documentsTab;http://www.compras.rs.gov.br/editais/0492_2020/lote/784422#proposalsTab;20/08/2020
9094/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/1203-0015122-5;BRIGADA MILITAR - DEPARTAMENTO DE SAÚDE;03/08/2020 09:41;Homologada;1;Adjudicado;1;LOTE 01 - AZITROMICINA 500mg;500;fa;80;40000;CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA;4,47347E+13;http://www.compras.rs.gov.br/editais/9094_2020/262481;http://www.compras.rs.gov.br/editais/9094_2020/262481#documentsTab;http://www.compras.rs.gov.br/editais/9094_2020/lote/785317#proposalsTab;04/08/2020
9094/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/1203-0015122-5;BRIGADA MILITAR - DEPARTAMENTO DE SAÚDE;03/08/2020 09:41;Homologada;2;Adjudicado;1;LOTE 02 - CEFEPIME 2G;1000;fa;60;60000;ANTIBIÓTICOS DO BRASIL LTDA;5,43964E+12;http://www.compras.rs.gov.br/editais/9094_2020/262481;http://www.compras.rs.gov.br/editais/9094_2020/262481#documentsTab;http://www.compras.rs.gov.br/editais/9094_2020/lote/785322#proposalsTab;04/08/2020
9094/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/1203-0015122-5;BRIGADA MILITAR - DEPARTAMENTO DE SAÚDE;03/08/2020 09:41;Homologada;3;Adjudicado;1;LOTE 03 - CEFUROXIMA  750MG;2000;fa;33;66000;ANTIBIÓTICOS DO BRASIL LTDA;5,43964E+12;http://www.compras.rs.gov.br/editais/9094_2020/262481;http://www.compras.rs.gov.br/editais/9094_2020/262481#documentsTab;http://www.compras.rs.gov.br/editais/9094_2020/lote/785329#proposalsTab;04/08/2020
9094/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/1203-0015122-5;BRIGADA MILITAR - DEPARTAMENTO DE SAÚDE;04/08/2020 10:35;Homologada;4;Deserto (encerrado);1;LOTE 04 - GLICOSE 50% AMPOLA 10ML;1000;am;;;;;http://www.compras.rs.gov.br/editais/9094_2020/262481;http://www.compras.rs.gov.br/editais/9094_2020/262481#documentsTab;http://www.compras.rs.gov.br/editais/9094_2020/lote/785332#proposalsTab;04/08/2020
9094/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/1203-0015122-5;BRIGADA MILITAR - DEPARTAMENTO DE SAÚDE;04/08/2020 10:35;Homologada;5;Deserto (encerrado);1;LOTE 05 - NOREPINEFRINA 2MG/ML 4ML;3000;am;;;;;http://www.compras.rs.gov.br/editais/9094_2020/262481;http://www.compras.rs.gov.br/editais/9094_2020/262481#documentsTab;http://www.compras.rs.gov.br/editais/9094_2020/lote/785333#proposalsTab;04/08/2020
0488/2020;Bens;Pregão Eletrônico (13.191/09);COVID-19 (Lei 13.979/2020);COVID-19;18/2000-0032219-0;CELIC - SUBSECRETARIA DA ADMINISTRAÇÃO CENTRAL DE LICITAÇÕES;03/08/2020 09:30;Homologada;1;Deserto (encerrado);1;POLIVITAMINICO MINERAL E ANTIOXID. (SOL.ORAL PED.).;43200;ml;;;;;http://www.compras.rs.gov.br/editais/0488_2020/262279;http://www.compras.rs.gov.br/editais/0488_2020/262279#documentsTab;http://www.compras.rs.gov.br/editais/0488_2020/lote/782595#proposalsTab;04/08/2020
0488/2020;Bens;Pregão Eletrônico (13.191/09);COVID-19 (Lei 13.979/2020);COVID-19;18/2000-0032219-0;CELIC - SUBSECRETARIA DA ADMINISTRAÇÃO CENTRAL DE LICITAÇÕES;03/08/2020 09:30;Homologada;2;Deserto (encerrado);1;POLIVITAMINICO MINERAL E ANTIOXID. (CAPS GELAT.);262800;cs;;;;;http://www.compras.rs.gov.br/editais/0488_2020/262279;http://www.compras.rs.gov.br/editais/0488_2020/262279#documentsTab;http://www.compras.rs.gov.br/editais/0488_2020/lote/782596#proposalsTab;04/08/2020
0617/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/2000-0068819-5;SECRETARIA DA SAÚDE DO ESTADO DO RIO GRANDE DO SUL;03/08/2020 09:00;Homologada;1;Adjudicado;1;CLORIDRATO LIDOCAINA INJETAVEL S/VASO 2% - 20 ML.;10800;ml;0.1625;1755;ALTERMED MATERIAL MEDICO HOSPITALAR LTDA;8,02002E+11;http://www.compras.rs.gov.br/editais/0617_2020/262329;http://www.compras.rs.gov.br/editais/0617_2020/262329#documentsTab;http://www.compras.rs.gov.br/editais/0617_2020/lote/784283#proposalsTab;07/08/2020
9025/2020;Serviços;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/0567-0000846-7;FUNDAÇÃO ESTADUAL DE PROTEÇÃO AMBIENTAL;31/07/2020 10:00;Homologada;1;Adjudicado;1;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA AQUISIÇÃO, APLICAÇÃO E INTERPRETAÇÃO DE TESTES RÁPIDOS lgG/lgM;1;un;9800;9800;Laboratório Marques D'Almeida LTDA;9,28075E+13;http://www.compras.rs.gov.br/editais/9025_2020/262229;http://www.compras.rs.gov.br/editais/9025_2020/262229#documentsTab;http://www.compras.rs.gov.br/editais/9025_2020/lote/782206#proposalsTab;31/07/2020
9093/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/1203-0009359-4;BRIGADA MILITAR - DEPARTAMENTO DE SAÚDE;30/07/2020 14:01;Cancelada;1;Cancelado;1;Aquisição de 2 (duas) máquinas unitarizadoras de medicamentos a serem instaladas nos Hospitais da Brigada Militar de Porto Alegre e de Santa Maria.;2;un;;;;;http://www.compras.rs.gov.br/editais/9093_2020/262347;http://www.compras.rs.gov.br/editais/9093_2020/262347#documentsTab;http://www.compras.rs.gov.br/editais/9093_2020/lote/784368#proposalsTab;
0485/2020;Bens;Pregão Eletrônico (13.191/09);COVID-19 (Lei 13.979/2020);COVID-19;20/2000-0063953-4;CELIC - SUBSECRETARIA DA ADMINISTRAÇÃO CENTRAL DE LICITAÇÕES;29/07/2020 09:30;Homologada;1;Adjudicado;1;SISTEMA AUTOMATIZADO P/ EXTRAÇÃO DE AC. NUCLEICOS;2;un;315000;630000;LOCCUS DO BRASIL LTDA;5,09472E+12;http://www.compras.rs.gov.br/editais/0485_2020/262160;http://www.compras.rs.gov.br/editais/0485_2020/262160#documentsTab;http://www.compras.rs.gov.br/editais/0485_2020/lote/781548#proposalsTab;14/08/2020
0598/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/2000-0061299-7;CELIC - SUBSECRETARIA DA ADMINISTRAÇÃO CENTRAL DE LICITAÇÕES;28/07/2020 09:30;Homologada;1;Adjudicado;1;EQUIPAMENTO HOSPITALAR SES - MONITOR MULTIPARÂMETRO PARA UTI;230;un;19200;4416000;ALFA MED SISTEMAS MÉDICOS LTDA;1,14054E+13;http://www.compras.rs.gov.br/editais/0598_2020/262145;http://www.compras.rs.gov.br/editais/0598_2020/262145#documentsTab;http://www.compras.rs.gov.br/editais/0598_2020/lote/781497#proposalsTab;03/08/2020
0598/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/2000-0061299-7;CELIC - SUBSECRETARIA DA ADMINISTRAÇÃO CENTRAL DE LICITAÇÕES;28/07/2020 09:30;Homologada;2;Adjudicado;1;EQUIPAMENTO HOSPITALAR SES - VENTILADOR PULMONAR PRESSOMÉTRICO E VOLUMÉTRICO;230;un;55000;12650000;LEISTUNG EQUIPAMENTOS LTDA.;4,18738E+12;http://www.compras.rs.gov.br/editais/0598_2020/262145;http://www.compras.rs.gov.br/editais/0598_2020/262145#documentsTab;http://www.compras.rs.gov.br/editais/0598_2020/lote/781498#proposalsTab;03/08/2020
9091/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/1203-0008661-0;BRIGADA MILITAR - DEPARTAMENTO DE SAÚDE;27/07/2020 10:07;Homologada;1;Adjudicado;1;LOTE 01 - BIOMBOS;32;un;1249;39968;ANA MARIA PIRES BELEM;4,36065E+12;http://www.compras.rs.gov.br/editais/9091_2020/262246;http://www.compras.rs.gov.br/editais/9091_2020/262246#documentsTab;http://www.compras.rs.gov.br/editais/9091_2020/lote/782248#proposalsTab;31/07/2020
0592/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/2000-0067303-1;SECRETARIA DA SAÚDE DO ESTADO DO RIO GRANDE DO SUL;24/07/2020 14:00;Homologada;1;Deserto (encerrado);1;CETAMINA 50MG/ML.;6230;ml;;;;;http://www.compras.rs.gov.br/editais/0592_2020/262066;http://www.compras.rs.gov.br/editais/0592_2020/262066#documentsTab;http://www.compras.rs.gov.br/editais/0592_2020/lote/780970#proposalsTab;30/07/2020
0592/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/2000-0067303-1;SECRETARIA DA SAÚDE DO ESTADO DO RIO GRANDE DO SUL;24/07/2020 14:00;Homologada;2;Adjudicado;1;ANESTESICO - PROPOFOL 10MG/ML - AMPOLA 20ML;6055;fa;11.5;69632.5;UNIAO QUIMICA FARMACEUTICA NACIONAL SA;6,0666E+13;http://www.compras.rs.gov.br/editais/0592_2020/262066;http://www.compras.rs.gov.br/editais/0592_2020/262066#documentsTab;http://www.compras.rs.gov.br/editais/0592_2020/lote/780971#proposalsTab;30/07/2020
0592/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/2000-0067303-1;SECRETARIA DA SAÚDE DO ESTADO DO RIO GRANDE DO SUL;24/07/2020 14:00;Homologada;3;Deserto (encerrado);1;CITRATO DE FENTANILA 0,05 MG/ML SOL INJ 10 ML;11580;am;;;;;http://www.compras.rs.gov.br/editais/0592_2020/262066;http://www.compras.rs.gov.br/editais/0592_2020/262066#documentsTab;http://www.compras.rs.gov.br/editais/0592_2020/lote/780972#proposalsTab;30/07/2020
0592/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/2000-0067303-1;SECRETARIA DA SAÚDE DO ESTADO DO RIO GRANDE DO SUL;24/07/2020 14:00;Homologada;4;Não-adjudicado;1;ETOMIDATO 2 MG/ML SOL INJ 10 ML;280;am;;;;;http://www.compras.rs.gov.br/editais/0592_2020/262066;http://www.compras.rs.gov.br/editais/0592_2020/262066#documentsTab;http://www.compras.rs.gov.br/editais/0592_2020/lote/780973#proposalsTab;30/07/2020
0592/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/2000-0067303-1;SECRETARIA DA SAÚDE DO ESTADO DO RIO GRANDE DO SUL;24/07/2020 14:00;Homologada;5;Deserto (encerrado);1;CLORIDRATO DE DEXTROCETAMINA 50MG/ML SOL INJ 10ML;2425;fa;;;;;http://www.compras.rs.gov.br/editais/0592_2020/262066;http://www.compras.rs.gov.br/editais/0592_2020/262066#documentsTab;http://www.compras.rs.gov.br/editais/0592_2020/lote/780974#proposalsTab;30/07/2020
0592/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/2000-0067303-1;SECRETARIA DA SAÚDE DO ESTADO DO RIO GRANDE DO SUL;24/07/2020 14:00;Homologada;6;Deserto (encerrado);1;PROPOFOL 10MG/ML INJ 100ML;48;fa;;;;;http://www.compras.rs.gov.br/editais/0592_2020/262066;http://www.compras.rs.gov.br/editais/0592_2020/262066#documentsTab;http://www.compras.rs.gov.br/editais/0592_2020/lote/780975#proposalsTab;30/07/2020
0592/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/2000-0067303-1;SECRETARIA DA SAÚDE DO ESTADO DO RIO GRANDE DO SUL;24/07/2020 14:00;Homologada;7;Deserto (encerrado);1;CLORETO DE SUXAMETÔNIO 100 MG PÓ INJ 10 ML;455;fa;;;;;http://www.compras.rs.gov.br/editais/0592_2020/262066;http://www.compras.rs.gov.br/editais/0592_2020/262066#documentsTab;http://www.compras.rs.gov.br/editais/0592_2020/lote/780976#proposalsTab;30/07/2020
0592/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/2000-0067303-1;SECRETARIA DA SAÚDE DO ESTADO DO RIO GRANDE DO SUL;24/07/2020 14:00;Homologada;8;Não-adjudicado;1;MIDAZOLAM 5 MG/ML SOL INJ 10 ML;12505;fa;;;;;http://www.compras.rs.gov.br/editais/0592_2020/262066;http://www.compras.rs.gov.br/editais/0592_2020/262066#documentsTab;http://www.compras.rs.gov.br/editais/0592_2020/lote/780977#proposalsTab;30/07/2020
0592/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/2000-0067303-1;SECRETARIA DA SAÚDE DO ESTADO DO RIO GRANDE DO SUL;24/07/2020 14:00;Homologada;9;Adjudicado;1;CLORIDRATO DE DEXMEDETOMIDINA 100 MCG/ML SOL INJ 2ML;293;fa;20;5860;UNIAO QUIMICA FARMACEUTICA NACIONAL SA;6,0666E+13;http://www.compras.rs.gov.br/editais/0592_2020/262066;http://www.compras.rs.gov.br/editais/0592_2020/262066#documentsTab;http://www.compras.rs.gov.br/editais/0592_2020/lote/780978#proposalsTab;30/07/2020
0592/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/2000-0067303-1;SECRETARIA DA SAÚDE DO ESTADO DO RIO GRANDE DO SUL;24/07/2020 14:00;Homologada;10;Não-adjudicado;1;BESILATO DE CISATRACÚRIO 2 MG/ML SOL INJ 10ML;941;am;;;;;http://www.compras.rs.gov.br/editais/0592_2020/262066;http://www.compras.rs.gov.br/editais/0592_2020/262066#documentsTab;http://www.compras.rs.gov.br/editais/0592_2020/lote/780979#proposalsTab;30/07/2020
0592/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/2000-0067303-1;SECRETARIA DA SAÚDE DO ESTADO DO RIO GRANDE DO SUL;24/07/2020 14:00;Homologada;11;Não-adjudicado;1;BESILATO DE CISATRACÚRIO 2 MG/ML SOL INJ 5ML;2874;am;;;;;http://www.compras.rs.gov.br/editais/0592_2020/262066;http://www.compras.rs.gov.br/editais/0592_2020/262066#documentsTab;http://www.compras.rs.gov.br/editais/0592_2020/lote/780980#proposalsTab;30/07/2020
0592/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/2000-0067303-1;SECRETARIA DA SAÚDE DO ESTADO DO RIO GRANDE DO SUL;24/07/2020 14:00;Homologada;12;Não-adjudicado;1;BESILATO DE ATRACÚRIO 10 MG/ML SOL INJ 5ML;6065;am;;;;;http://www.compras.rs.gov.br/editais/0592_2020/262066;http://www.compras.rs.gov.br/editais/0592_2020/262066#documentsTab;http://www.compras.rs.gov.br/editais/0592_2020/lote/780981#proposalsTab;30/07/2020
0592/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/2000-0067303-1;SECRETARIA DA SAÚDE DO ESTADO DO RIO GRANDE DO SUL;24/07/2020 14:00;Homologada;13;Não-adjudicado;1;BESILATO DE ATRACÚRIO 10 MG/ML SOL INJ 2,5ML;12629;am;;;;;http://www.compras.rs.gov.br/editais/0592_2020/262066;http://www.compras.rs.gov.br/editais/0592_2020/262066#documentsTab;http://www.compras.rs.gov.br/editais/0592_2020/lote/780982#proposalsTab;30/07/2020
0592/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/2000-0067303-1;SECRETARIA DA SAÚDE DO ESTADO DO RIO GRANDE DO SUL;24/07/2020 14:00;Homologada;14;Deserto (encerrado);1;EPINEFRINA (ADRENALINA) 1MG/ML INJ.;524;ml;;;;;http://www.compras.rs.gov.br/editais/0592_2020/262066;http://www.compras.rs.gov.br/editais/0592_2020/262066#documentsTab;http://www.compras.rs.gov.br/editais/0592_2020/lote/780983#proposalsTab;30/07/2020
0592/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/2000-0067303-1;SECRETARIA DA SAÚDE DO ESTADO DO RIO GRANDE DO SUL;24/07/2020 14:00;Homologada;15;Não-adjudicado;1;CLORIDRATO DE NALOXONA 0,4 MG/ML SOL INJ 1 ML;228;un;;;;;http://www.compras.rs.gov.br/editais/0592_2020/262066;http://www.compras.rs.gov.br/editais/0592_2020/262066#documentsTab;http://www.compras.rs.gov.br/editais/0592_2020/lote/780984#proposalsTab;30/07/2020
0592/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/2000-0067303-1;SECRETARIA DA SAÚDE DO ESTADO DO RIO GRANDE DO SUL;24/07/2020 14:00;Homologada;16;Não-adjudicado;1;HALOPERIDOL 5 MG/ML SOL INJ 1 ML;115;am;;;;;http://www.compras.rs.gov.br/editais/0592_2020/262066;http://www.compras.rs.gov.br/editais/0592_2020/262066#documentsTab;http://www.compras.rs.gov.br/editais/0592_2020/lote/780985#proposalsTab;30/07/2020
0592/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/2000-0067303-1;SECRETARIA DA SAÚDE DO ESTADO DO RIO GRANDE DO SUL;24/07/2020 14:00;Homologada;17;Deserto (encerrado);1;ATROPINA, SULFATO 0,25MG/ML INJ 1ML;443;un;;;;;http://www.compras.rs.gov.br/editais/0592_2020/262066;http://www.compras.rs.gov.br/editais/0592_2020/262066#documentsTab;http://www.compras.rs.gov.br/editais/0592_2020/lote/780986#proposalsTab;30/07/2020
0592/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/2000-0067303-1;SECRETARIA DA SAÚDE DO ESTADO DO RIO GRANDE DO SUL;24/07/2020 14:00;Homologada;18;Deserto (encerrado);1;SIMPATICOMIMÉTICO - HEMITARTARATO DE NOREPINEFRINA 2MG/ML - AMPOLA 4ML;11251;am;;;;;http://www.compras.rs.gov.br/editais/0592_2020/262066;http://www.compras.rs.gov.br/editais/0592_2020/262066#documentsTab;http://www.compras.rs.gov.br/editais/0592_2020/lote/780987#proposalsTab;30/07/2020
0592/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/2000-0067303-1;SECRETARIA DA SAÚDE DO ESTADO DO RIO GRANDE DO SUL;24/07/2020 14:00;Homologada;19;Deserto (encerrado);1;BROMETO DE ROCURÔNIO 10MG/ML - AMPOLA 5ML;5111;fa;;;;;http://www.compras.rs.gov.br/editais/0592_2020/262066;http://www.compras.rs.gov.br/editais/0592_2020/262066#documentsTab;http://www.compras.rs.gov.br/editais/0592_2020/lote/780988#proposalsTab;30/07/2020
0592/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/2000-0067303-1;SECRETARIA DA SAÚDE DO ESTADO DO RIO GRANDE DO SUL;24/07/2020 14:00;Homologada;20;Não-adjudicado;1;SULFATO DE MORFINA 10 MG/ML - 1 ML.;5473;am;;;;;http://www.compras.rs.gov.br/editais/0592_2020/262066;http://www.compras.rs.gov.br/editais/0592_2020/262066#documentsTab;http://www.compras.rs.gov.br/editais/0592_2020/lote/780989#proposalsTab;30/07/2020
0592/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/2000-0067303-1;SECRETARIA DA SAÚDE DO ESTADO DO RIO GRANDE DO SUL;24/07/2020 14:00;Homologada;21;Deserto (encerrado);1;DIAZEPAM 10 MG SOLUCAO INJETAVEL.;1190;ml;;;;;http://www.compras.rs.gov.br/editais/0592_2020/262066;http://www.compras.rs.gov.br/editais/0592_2020/262066#documentsTab;http://www.compras.rs.gov.br/editais/0592_2020/lote/780990#proposalsTab;30/07/2020
0384/2020;Bens;Pregão Eletrônico (13.191/09);COVID-19 (Lei 13.979/2020);COVID-19;20/1300-0002676-7;CELIC - SUBSECRETARIA DA ADMINISTRAÇÃO CENTRAL DE LICITAÇÕES;24/07/2020 09:30;Homologada;1;Adjudicado;1;KIT CESTA BÁSICA - SEDUC  (ARROZ, FEIJÃO ... );160000;kt;121.53;19444800;MESASUL COMERCIO E INDUSTRIA DE ALIMENTOS LTDA;9,20283E+13;http://www.compras.rs.gov.br/editais/0384_2020/261430;http://www.compras.rs.gov.br/editais/0384_2020/261430#documentsTab;http://www.compras.rs.gov.br/editais/0384_2020/lote/776274#proposalsTab;29/07/2020
0448/2020;Bens;Pregão Eletrônico (13.191/09);COVID-19 (Lei 13.979/2020);COVID-19;20/1300-0003938-9;CELIC - SUBSECRETARIA DA ADMINISTRAÇÃO CENTRAL DE LICITAÇÕES;23/07/2020 14:30;Homologada;1;Adjudicado;1;NOTEBOOK - CHROMEBOOK CLAMSHELL;60000;un;1672.83;100369800;MULTILASER INDUSTRIAL S/A;5,97176E+13;http://www.compras.rs.gov.br/editais/0448_2020/261773;http://www.compras.rs.gov.br/editais/0448_2020/261773#documentsTab;http://www.compras.rs.gov.br/editais/0448_2020/lote/778678#proposalsTab;30/07/2020
